names_items,prixes_items,disponbilites_items,refrences_items
Pc de Bureau Gamer MYTEK AMD Ryzen 5 16Go MSI RTX 3060 VENTUS 2X 12G OC,"2 999,000 DT",Sur commande 48h,[DRAGON-B-5600X-3060]
Pc de Bureau Gamer MYTEK i7 12è Gén 16Go MSI RTX 3060 VENTUS 2X OC 12Go,"2 999,000 DT",En stock,[NINJA-12700-3060]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go MSI RTX 4060Ti VENTUS 2X BLACK 16G OC,"3 259,000 DT",Sur commande 48h,[SAMURAI-12400-16G4060Ti]
Pc de Bureau Gamer MYTEK i5 12ème Gén 16Go MSI RTX3060 VENTUS 2X OC 12Go,"3 029,000 DT",En stock,[BU-NINJA-12400-3060-S1]
Pc de Bureau Gamer MYTEK i5 12ème Gén 16G MSI RTX 4060 VENTUS 2X BLACK 8Go OC,"3 039,000 DT",En stock,[BU-NINJA-12400-4060-S1]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go MSI RTX 4060Ti VENTUS 2X BLACK 8G OC,"3 039,000 DT",Sur commande 48h,[RAPTOR-12400-4060TI]
Pc de Bureau Gamer MYTEK AMD Ryzen 7 16Go MSI RTX 4060 VENTUS 2X BLACK 8G OC,"3 055,000 DT",Sur commande 48h,[SPIDER-5800X-4060]
Pc de Bureau Gamer MYTEK i5 13è Gén 16G MSI RTX 4060 VENTUS 2X BLACK 8G OC,"3 059,000 DT",En stock,[BU-JOKER-13400-4060-P4]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go MSI RTX 4060TI VENTUS 2X BLACK 8Go OC,"3 229,000 DT",En stock,[GUNSHIP-12400-4060Ti]
Pc de Bureau Gamer MYTEK AMD Ryzen 7 16Go MSI RTX 3060 VENTUS 2X 12G OC,"3 059,000 DT",Sur commande 48h,[DRAGON-B-5700G-3060]
Pc de Bureau Gamer MYTEK i5 13è Gén 16G MSI RTX 4060 Ti VENTUS 2X BLACK 8G OC,"3 059,000 DT",En stock,[NINJA-13400-4060Ti]
Pc de Bureau Gamer MYTEK i5 13è Gén 16Go MSI RTX 4060 Ti VENTUS 2X BLACK 8G OC,"3 299,000 DT",Sur commande 48h,[SAMURAI-13400-4060Ti]
